Time_s,TrueDisplacement_mm,PredictedDisplacement_mm,DisplacementError_mm,TrueCoilForce_N,PredictedCoilForce_N,CoilForceError_N,IsTrainingSample,IsValidationSample,IsTestingSample
0.0192,1.78323642855899,4.596950493740733,-2.8137140651817436,0.0793855,0.02659802378674076,0.052787476213259237,True,False,False
0.02,1.97267341474166,4.59694953333946,-2.6242761185978,0.077594,0.026598184220029658,0.05099581577997034,True,False,False
0.0208,2.16620221968277,4.596948889322208,-2.430746669639438,0.071141,0.026598292606398746,0.04454270739360125,True,False,False
0.0216,2.361805821522025,4.596948464664544,-2.2351426431425194,0.0647035,0.02659836423798426,0.03810513576201574,True,False,False
0.0224,2.56071709251891,4.596948210151176,-2.0362311176322656,0.062324,0.02659841038267605,0.035725589617323944,True,False,False
0.0232,2.76060782632094,4.596948049849939,-1.8363402235289987,0.055724,0.026598439088966874,0.02912556091103313,True,False,False
0.024,2.96059988990021,4.5969479767300765,-1.6363480868298663,0.049442,0.026598456259084746,0.022843543740915254,True,False,False
0.0248,3.15976920510699,4.596947937357842,-1.4371787322508522,0.045984,0.026598465380709868,0.01938553461929013,True,False,False
0.0256,3.35697302994293,4.596947930327087,-1.2399749003841567,0.040051,0.02659846967323934,0.013452530326760664,True,False,False
0.0264,3.55242330051089,4.596947930327087,-1.0445246298161965,0.035543,0.02659847128293789,0.008944528717062108,True,False,False
0.0272,3.74385339221945,4.59694792329633,-0.8530945310768803,0.033195,0.02659847155122098,0.006596528448779022,True,False,False
0.028,3.931392097935,4.59694792329633,-0.6655558253613303,0.028813,0.02659847155122098,0.0022145284487790177,True,False,False
0.0288,4.116040471688625,4.59694792329633,-0.4809074516077052,0.026154,0.02659847155122098,-0.0004444715512209804,True,False,False
0.0296,4.29491049756546,4.59694792329633,-0.30203742573087045,0.025428,0.02659847155122098,-0.0011704715512209814,True,False,False
0.0304,4.46894276193588,4.59694792329633,-0.12800516136045026,0.022196,0.02659847155122098,-0.00440247155122098,True,False,False
0.0312,4.63955859024707,4.59694792329633,0.042610666950739784,0.019314,0.02659847155122098,-0.007284471551220979,True,False,False
0.032,4.805392071020345,4.59694792329633,0.20844414772401443,0.0181655,0.02659847155122098,-0.00843297155122098,True,False,False
0.0328,4.96356623916917,4.59694792329633,0.3666183158728398,0.017972,0.02659847155122098,-0.008626471551220982,True,False,False
0.0336,5.11615103914749,4.596947914859423,0.519203124288067,0.015601,0.02659847155122098,-0.01099747155122098,True,False,False
0.0344,5.26489093129492,4.596947914859423,0.6679430164354967,0.01349,0.02659847155122098,-0.01310847155122098,True,False,False
0.0352,5.40836839584084,4.59694792329633,0.8114204725445102,0.0148615,0.02659847155122098,-0.011736971551220981,True,False,False
0.036,5.54420425219573,4.59694792329633,0.9472563288993996,0.016523,0.02659847155122098,-0.010075471551220981,True,False,False
0.0368,5.67479079818676,4.59694792329633,1.0778428748904298,0.014622,0.02659847155122098,-0.011976471551220981,True,False,False
0.0376,5.80178298063214,4.59694792329633,1.20483505733581,0.012837,0.02659847155122098,-0.013761471551220981,True,False,False
0.0384,5.92386573030301,4.59694792329633,1.32691780700668,0.0124785,0.02659847155122098,-0.01411997155122098,True,False,False
0.0392,6.03819443171129,4.59694792329633,1.4412465084149595,0.012329,0.02659847155122098,-0.014269471551220981,True,False,False
0.04,6.14710647473307,4.59694792329633,1.5501585514367395,0.011041,0.02659847155122098,-0.01555747155122098,True,False,False
0.0408,6.25236513804472,4.59694792329633,1.6554172147483897,0.0098609,0.02659847155122098,-0.01673757155122098,True,False,False
0.0416,6.35021510906195,4.59694792329633,1.75326718576562,0.0087974,0.02659847155122098,-0.01780107155122098,True,False,False
0.0424,6.44242753609086,4.59694792329633,1.8454796127945299,0.0078035,0.02659847155122098,-0.01879497155122098,True,False,False
0.0432,6.52895869020917,4.59694792329633,1.93201076691284,0.008238,0.02659847155122098,-0.018360471551220982,True,False,False
0.044,6.61050135925233,4.59694792329633,2.013553435956,0.0098497,0.02659847155122098,-0.01674877155122098,True,False,False
0.0448,6.68703186908559,4.59694792329633,2.09008394578926,0.0091,0.02659847155122098,-0.01749847155122098,True,False,False
0.0456,6.76021335737718,4.59694792329633,2.1632654340808495,0.0083834,0.02659847155122098,-0.01821507155122098,True,False,False
0.0464,6.82668688614433,4.59694792329633,2.2297389628479998,0.0077322,0.02659847155122098,-0.018866271551220982,True,False,False
0.0472,6.88813194379194,4.59694792329633,2.29118402049561,0.0071295,0.02659847155122098,-0.01946897155122098,True,False,False
0.048,6.94456250128479,4.59694792329633,2.34761457798846,0.0065755,0.02659847155122098,-0.02002297155122098,True,False,False
0.0488,6.99600139709196,4.59694792329633,2.3990534737956297,0.0060705,0.02659847155122098,-0.02052797155122098,True,False,False
0.0496,7.04248024159878,4.596947914859423,2.4455323267393574,0.0056151,0.02659847155122098,-0.02098337155122098,True,False,False
0.0504,7.085669080108126,4.596947914859423,2.4887211652487027,0.0063604,0.02659847155122098,-0.020238071551220982,True,False,False
0.0512,7.12292081093374,4.59694792329633,2.52597288763741,0.0079402,0.02659847155122098,-0.018658271551220983,True,False,False
0.052,7.15592092817124,4.59694792329633,2.55897300487491,0.0076197,0.02659847155122098,-0.01897877155122098,True,False,False
0.0528,7.18610741352156,4.59694792329633,2.5891594902252297,0.0073356,0.02659847155122098,-0.01926287155122098,True,False,False
0.0536,7.2107384839463,4.59694792329633,2.61379056064997,0.0071101,0.02659847155122098,-0.01948837155122098,True,False,False
0.0544,7.2312836795978,4.59694792329633,2.6343357563014695,0.006926,0.02659847155122098,-0.019672471551220982,True,False,False
0.0552,7.24781148316841,4.59694792329633,2.6508635598720796,0.0067805,0.02659847155122098,-0.019817971551220982,True,False,False
0.056,7.26169308042337,4.59694792329633,2.66474515712704,0.0066599,0.02659847155122098,-0.01993857155122098,True,False,False
0.0568,7.27209109178447,4.59694792329633,2.67514316848814,0.0065706,0.02659847155122098,-0.02002787155122098,True,False,False
0.0576,7.27877723635318,4.59694792329633,2.6818293130568502,0.0065136,0.02659847155122098,-0.020084871551220983,True,False,False
0.0584,7.28173017012647,4.59694792329633,2.6847822468301397,0.0064885,0.02659847155122098,-0.02010997155122098,True,False,False
0.0592,7.2810005758773,4.59694792329633,2.68405265258097,0.0064948,0.02659847155122098,-0.020103671551220982,True,False,False
0.06,7.27666581351621,4.59694792329633,2.67971789021988,0.0065318,0.02659847155122098,-0.02006667155122098,True,False,False
0.0608,7.26881460097607,4.59694792329633,2.6718666776797395,0.006599,0.02659847155122098,-0.01999947155122098,True,False,False
0.0616,7.25754178494859,4.59694792329633,2.66059386165226,0.0066963,0.02659847155122098,-0.019902171551220982,True,False,False
0.0624,7.24294652362864,4.59694792329633,2.6459986003323097,0.0068237,0.02659847155122098,-0.019774771551220982,True,False,False
0.0632,7.2251316463505,4.59694792329633,2.6281837230541703,0.0069814,0.02659847155122098,-0.019617071551220982,True,False,False
0.064,7.20420344252929,4.59694792329633,2.60725551923296,0.0071702,0.02659847155122098,-0.019428271551220982,True,False,False
0.0648,7.18027162912974,4.59694792329633,2.5833237058334095,0.0073908,0.02659847155122098,-0.01920767155122098,True,False,False
0.0656,7.15344940993166,4.596947914859423,2.5565014950722373,0.0076444,0.02659847155122098,-0.01895407155122098,True,False,False
0.0664,7.12385359160737,4.596947914859423,2.5269056767479467,0.0079322,0.02659847155122098,-0.01866627155122098,True,False,False
0.0672,7.09160473511781,4.59694792329633,2.4946568118214802,0.0082557,0.02659847155122098,-0.01834277155122098,True,False,False
0.068,7.05682732128392,4.59694792329633,2.4598793979875895,0.0086163,0.02659847155122098,-0.01798217155122098,True,False,False
0.0688,7.0196499054102,4.59694792329633,2.4227019821138702,0.0090153,0.02659847155122098,-0.01758317155122098,True,False,False
0.0696,6.98020523096372,4.59694792329633,2.3832573076673897,0.0094535,0.02659847155122098,-0.01714497155122098,True,False,False
0.0704,6.93863026829414,4.59694792329633,2.3416823449978095,0.0099311,0.02659847155122098,-0.01666737155122098,True,False,False
0.0712,6.89506614252242,4.59694792329633,2.2981182192260894,0.010448,0.02659847155122098,-0.016150471551220978,True,False,False
0.072,6.84965791629144,4.59694792329633,2.2527099929951095,0.011002,0.02659847155122098,-0.015596471551220981,True,False,False
0.0728,6.80255419925213,4.59694792329633,2.2056062759558,0.011591,0.02659847155122098,-0.01500747155122098,True,False,False
0.0736,6.75390656775022,4.59694792329633,2.1569586444538897,0.012212,0.02659847155122098,-0.01438647155122098,True,False,False
0.0744,6.70386879499297,4.59694792329633,2.10692087169664,0.012859,0.02659847155122098,-0.01373947155122098,True,False,False
0.0752,6.65259591228151,4.59694792329633,2.0556479889851795,0.013527,0.02659847155122098,-0.01307147155122098,True,False,False
0.076,6.60024314227106,4.59694792329633,2.0032952189747295,0.01421,0.02659847155122098,-0.01238847155122098,True,False,False
0.0768,6.54696476121741,4.59694792329633,1.9500168379210798,0.014901,0.02659847155122098,-0.011697471551220981,True,False,False
0.0776,6.49291295473796,4.59694792329633,1.89596503144163,0.015594,0.02659847155122098,-0.01100447155122098,True,False,False
0.0784,6.43823672874343,4.59694792329633,1.8412888054470997,0.015312,0.02659847155122098,-0.011286471551220981,True,False,False
0.0792,6.38180913501756,4.59694792329633,1.7848612117212301,0.011088,0.02659847155122098,-0.01551047155122098,True,False,False
0.08,6.32410745518627,4.59694792329633,1.7271595318899395,0.011788,0.02659847155122098,-0.01481047155122098,True,False,False
0.0808,6.26563221284843,4.59694792329633,1.6686842895520995,0.012532,0.02659847155122098,-0.01406647155122098,True,False,False
0.0816,6.20584157173783,4.596947914859423,1.608893656878407,0.013327,0.02659847155122098,-0.01327147155122098,True,False,False
0.0824,6.14530106343568,4.596947914859423,1.5483531485762567,0.014164,0.02659847155122098,-0.012434471551220981,True,False,False
0.0832,6.08419228841933,4.59694792329633,1.4872443651229998,0.015039,0.02659847155122098,-0.01155947155122098,True,False,False
0.084,6.0226983541892,4.59694792329633,1.4257504308928697,0.015944,0.02659847155122098,-0.01065447155122098,True,False,False
0.0848,5.96100229792105,4.59694792329633,1.36405437462472,0.016872,0.02659847155122098,-0.009726471551220979,True,False,False
0.0856,5.89928537110983,4.59694792329633,1.3023374478134997,0.017813,0.02659847155122098,-0.008785471551220982,True,False,False
0.0864,5.83772530892178,4.59694792329633,1.2407773856254503,0.0177,0.02659847155122098,-0.00889847155122098,True,False,False
0.0872,5.7756233595037,4.59694792329633,1.17867543620737,0.015052,0.02659847155122098,-0.011546471551220981,True,False,False
0.088,5.71316241769433,4.59694792329633,1.1162144943980001,0.015959,0.02659847155122098,-0.01063947155122098,True,False,False
0.0888,5.65054395378672,4.59694792329633,1.0535960304903895,0.016888,0.02659847155122098,-0.00971047155122098,True,False,False
0.0896,5.58785360781027,4.59694792329633,0.9909056845139395,0.017836,0.02659847155122098,-0.00876247155122098,True,False,False
0.0904,5.5253499738496,4.59694792329633,0.9284020505532702,0.018796,0.02659847155122098,-0.00780247155122098,True,False,False
0.0912,5.46320984706712,4.59694792329633,0.8662619237707903,0.019762,0.02659847155122098,-0.006836471551220982,True,False,False
0.092,5.40160588397708,4.59694792329633,0.8046579606807498,0.020728,0.02659847155122098,-0.005870471551220981,True,False,False
0.0928,5.34070554843933,4.59694792329633,0.743757625143,0.021688,0.02659847155122098,-0.004910471551220982,True,False,False
0.0936,5.28067017460737,4.59694792329633,0.6837222513110399,0.022637,0.02659847155122098,-0.00396147155122098,True,False,False
0.0944,5.22165418969177,4.59694792329633,0.6247062663954397,0.023568,0.02659847155122098,-0.003030471551220982,True,False,False
0.0952,5.163804508761885,4.59694792329633,0.5668565854655547,0.0229665,0.02659847155122098,-0.0036319715512209798,True,False,False
0.096,5.10629938370036,4.59694792329633,0.5093514604040301,0.020243,0.02659847155122098,-0.00635547155122098,True,False,False
0.0968,5.04930595910615,4.59694792329633,0.45235803580982026,0.021177,0.02659847155122098,-0.005421471551220979,True,False,False
0.0976,4.99272837084113,4.596947914859423,0.39578045598170686,0.022131,0.02659847155122098,-0.004467471551220979,True,False,False
0.0984,4.93720210447337,4.596947914859423,0.3402541896139466,0.023088,0.02659847155122098,-0.0035104715512209797,True,False,False
0.0992,4.88267916953122,4.59694792329633,0.28573124623488955,0.024046,0.02659847155122098,-0.002552471551220979,True,False,False
0.1,4.82931459314365,4.59694792329633,0.23236666984731968,0.024999,0.02659847155122098,-0.0015994715512209802,True,False,False
0.1008,4.77725738737011,4.59694792329633,0.18030946407377968,0.025938,0.02659847155122098,-0.0006604715512209813,True,False,False
0.1016,4.72664956959686,4.59694792329633,0.12970164630052938,0.026859,0.02659847155122098,0.00026052844877902034,True,False,False
0.1024,4.6776253460308,4.59694792329633,0.0806774227344702,0.027756,0.02659847155122098,0.0011575284487790188,True,False,False
0.1032,4.63031046881751,4.59694792329633,0.033362545521179676,0.028624,0.02659847155122098,0.0020255284487790196,True,False,False
0.104,4.58482176086247,4.59694792329633,-0.012126162433860443,0.029461,0.02659847155122098,0.0028625284487790205,True,False,False
0.1048,4.54126678997942,4.59694792329633,-0.05568113331691027,0.030263,0.02659847155122098,0.003664528448779021,True,False,False
0.1056,4.49974366676023,4.59694792329633,-0.09720425653610043,0.030151999999999998,0.02659847155122098,0.0035535284487790177,True,False,False
0.1064,4.45936713636438,4.59694792329633,-0.13758078693195053,0.026561,0.02659847155122098,-3.747155122097931e-05,True,False,False
0.1072,4.42025804629284,4.59694792329633,-0.17668987700348993,0.027349,0.02659847155122098,0.0007505284487790177,True,False,False
0.108,4.38204661435952,4.59694792329633,-0.2149013089368106,0.028134,0.02659847155122098,0.0015355284487790187,True,False,False
0.1088,4.34578018087032,4.59694792329633,-0.25116774242601014,0.028895,0.02659847155122098,0.00229652844877902,True,False,False
0.1096,4.31111376231118,4.59694792329633,-0.28583416098515,0.029636,0.02659847155122098,0.0030375284487790186,True,False,False
0.1104,4.27814426528441,4.59694792329633,-0.31880365801192045,0.030353,0.02659847155122098,0.003754528448779021,True,False,False
0.1112,4.24696105476473,4.59694792329633,-0.3499868685315999,0.031041,0.02659847155122098,0.0044425284487790186,True,False,False
0.112,4.21764539219244,4.59694792329633,-0.3793025311038898,0.031698,0.02659847155122098,0.005099528448779016,True,False,False
0.1128,4.19026993204998,4.59694792329633,-0.40667799124635007,0.032319,0.02659847155122098,0.00572052844877902,True,False,False
0.1136,4.16489829058061,4.596947914859423,-0.43204962427881277,0.032901,0.02659847155122098,0.006302528448779019,True,False,False
0.1144,4.14158469594225,4.596947914859423,-0.4553632189171726,0.03344,0.02659847155122098,0.006841528448779017,True,False,False
0.1152,4.12037372487684,4.59694792329633,-0.47657419841949,0.033935,0.02659847155122098,0.007336528448779019,True,False,False
0.116,4.10130012727567,4.59694792329633,-0.49564779602066,0.034384,0.02659847155122098,0.007785528448779017,True,False,False
0.1168,4.08438873704884,4.59694792329633,-0.5125591862474899,0.034783,0.02659847155122098,0.00818452844877902,True,False,False
0.1176,4.06965446553092,4.59694792329633,-0.5272934577654098,0.035133,0.02659847155122098,0.008534528448779017,True,False,False
0.1184,4.05710237223305,4.59694792329633,-0.53984555106328,0.035432,0.02659847155122098,0.008833528448779018,True,False,False
0.1192,4.04672780696996,4.59694792329633,-0.5502201163263702,0.03568,0.02659847155122098,0.009081528448779023,True,False,False
0.12,4.03851661710519,4.59694792329633,-0.5584313061911406,0.035877,0.02659847155122098,0.009278528448779019,True,False,False
0.1208,4.03244541372353,4.59694792329633,-0.5645025095728,0.036023,0.02659847155122098,0.009424528448779019,True,False,False
0.1216,4.02848189083053,4.59694792329633,-0.5684660324657997,0.036118,0.02659847155122098,0.009519528448779017,True,False,False
0.1224,4.0265851920894,4.59694792329633,-0.5703627312069299,0.036163,0.02659847155122098,0.00956452844877902,True,False,False
0.1232,4.0267063200613,4.59694792329633,-0.5702416032350301,0.03616,0.02659847155122098,0.009561528448779017,True,False,False
0.124,4.02878858335855,4.59694792329633,-0.5681593399377798,0.03611,0.02659847155122098,0.009511528448779023,True,False,False
0.1248,4.03276807751425,4.59694792329633,-0.5641798457820801,0.036015,0.02659847155122098,0.009416528448779018,True,False,False
0.1256,4.03857419569103,4.59694792329633,-0.5583737276053,0.035875,0.02659847155122098,0.009276528448779017,True,False,False
0.1264,4.0461301655798,4.59694792329633,-0.5508177577165299,0.035694,0.02659847155122098,0.009095528448779016,True,False,False
0.1272,4.05535360896607,4.59694792329633,-0.5415943143302604,0.035474,0.02659847155122098,0.008875528448779018,True,False,False
0.128,4.06615712046445,4.59694792329633,-0.5307908028318797,0.035216,0.02659847155122098,0.008617528448779017,True,False,False
0.1288,4.07797381931457,4.59694792329633,-0.5189741039817601,0.034935,0.02659847155122098,0.00833652844877902,True,False,False
0.1296,4.09108619655797,4.596947914859423,-0.5058617183014533,0.034624,0.02659847155122098,0.008025528448779021,True,False,False
0.1304,4.1055265887537,4.596947914859423,-0.49142132610572276,0.034284,0.02659847155122098,0.007685528448779021,True,False,False
0.1312,4.12124038672463,4.59694792329633,-0.47570753657169984,0.033915,0.02659847155122098,0.00731652844877902,True,False,False
0.132,4.13814170319925,4.59694792329633,-0.45880622009708016,0.03352,0.02659847155122098,0.006921528448779021,True,False,False
0.1328,4.1561326209184,4.59694792329633,-0.44081530237793043,0.033102,0.02659847155122098,0.006503528448779019,True,False,False
0.1336,4.17511011306804,4.59694792329633,-0.4218378102282898,0.032665,0.02659847155122098,0.006066528448779019,True,False,False
0.1344,4.19496878893748,4.59694792329633,-0.40197913435885013,0.032211,0.02659847155122098,0.005612528448779016,True,False,False
0.1352,4.21560221939357,4.59694792329633,-0.38134570390276057,0.031743,0.02659847155122098,0.00514452844877902,True,False,False
0.136,4.23690376965187,4.59694792329633,-0.3600441536444601,0.031265,0.02659847155122098,0.0046665284487790205,True,False,False
0.1368,4.25876724893742,4.59694792329633,-0.3381806743589104,0.030779,0.02659847155122098,0.00418052844877902,True,False,False
0.1376,4.28108747802188,4.59694792329633,-0.31586044527445,0.030287,0.02659847155122098,0.003688528448779021,True,False,False
0.1384,4.30376080556099,4.59694792329633,-0.29318711773534023,0.029794,0.02659847155122098,0.0031955284487790205,True,False,False
0.1392,4.32668558104456,4.59694792329633,-0.2702623422517698,0.029301,0.02659847155122098,0.00270252844877902,True,False,False
0.14,4.34976258502093,4.59694792329633,-0.24718533827540057,0.02881,0.02659847155122098,0.0022115284487790182,True,False,False
0.1408,4.37289541556031,4.59694792329633,-0.2240525077360198,0.028324,0.02659847155122098,0.001725528448779018,True,False,False
0.1416,4.3959908300839,4.59694792329633,-0.2009570932124305,0.027845,0.02659847155122098,0.0012465284487790211,True,False,False
0.1424,4.41895904245099,4.59694792329633,-0.17798888084533981,0.027374,0.02659847155122098,0.0007755284487790184,True,False,False
0.1432,4.44171397610153,4.59694792329633,-0.15523394719479988,0.026913,0.02659847155122098,0.00031452844877901884,True,False,False
0.144,4.46417347491063,4.59694792329633,-0.13277444838570052,0.026464,0.02659847155122098,-0.00013447155122097917,True,False,False
0.1448,4.48625947414045,4.59694792329633,-0.11068844915588016,0.026028,0.02659847155122098,-0.0005704715512209815,True,False,False
0.1456,4.5078981344376,4.596947914859423,-0.08904978042182332,0.025605,0.02659847155122098,-0.0009934715512209813,True,False,False
