Experiment,Split,LoadMass_g,CaseID,CaseType,Disp_RMSE_mm,Disp_MAE_mm,Disp_NRMSE_percent,Disp_R2,Disp_Fit_percent,Force_RMSE_N,Force_MAE_N,Force_NRMSE_percent,Force_R2,Force_Fit_percent
Load_1_Case_1_DC_plus_sine,Train,1.906,1,DC_plus_sine,0.0013982356782532108,0.0010870218124861882,0.13628029332552596,0.9999226950349741,99.12076759698512,0.0003665520405828002,0.00022779892564321383,0.36510353809283014,0.9998724670616681,98.87069507786856
Load_1_Case_2_DC_only,Train,1.906,2,DC_only,0.001221741793627163,0.0010683113980316915,0.0838935574177412,0.9999537581056247,99.31998610791503,9.962866189098208e-05,5.3005681984155426e-05,0.5077914073638783,0.9988912854467089,96.67026349688318
Load_1_Case_3_Sine_only,Train,1.906,3,Sine_only,0.0012505405248980964,0.0009615655509847646,0.07389591922454691,0.9999737701214363,99.48784886317011,0.00027385014465654603,0.0001959292175712625,0.2626708620127097,0.9999318221947567,99.17430145841679
Load_1_Case_4_No_current,Train,1.906,4,No_current,0.0007416767453214042,0.0006169768307500901,0.05427167135589424,0.9999869375325677,99.63857961896906,0.00011701915386569366,7.100087345930347e-05,74.71866795938087,-20.701459391155687,-365.84821400805004
Load_2_Case_1_DC_plus_sine,Train,3.813,1,DC_plus_sine,0.0012564698584899786,0.0010104170558644311,0.1176139650264469,0.9999537705158322,99.32007731556538,0.0003889835771631409,0.00024660837889949104,0.2755460172826306,0.9999287469188812,99.15588454672245
Load_2_Case_2_DC_only,Train,3.813,2,DC_only,0.0014202712709141467,0.0011812888749834999,0.08511703098316054,0.9999595745134705,99.36418959216759,0.0001365997939939404,8.861831455823848e-05,0.6598067914308684,0.9985702869384959,96.21884544604029
Load_2_Case_3_Sine_only,Train,3.813,3,Sine_only,0.0012756418154917257,0.000990910670583086,0.045922736600986176,0.9999925089844122,99.72630282701135,0.00038355655610338346,0.0002801297101972526,0.3342861219273435,0.9998290052386606,98.69235025446262
Load_2_Case_4_No_current,Train,3.813,4,No_current,0.0010378835385824296,0.0008385473339381656,0.03961084941332071,0.9999949063848644,99.77430960304758,0.00010856369579884642,8.418619827370743e-05,103.20331038725665,-39.98132413127282,-540.1665954427705
Load_3_Case_1_DC_plus_sine,Train,7.625,1,DC_plus_sine,0.001565395093002225,0.001260854161473041,0.23290099821848606,0.9998594454681622,98.81444300538324,0.0003470964692748759,0.0002823034568465202,0.17661136334009447,0.9999735954419615,99.48614635498157
Load_3_Case_2_DC_only,Train,7.625,2,DC_only,0.0010031074176813368,0.0008199106385271546,0.0702899206526114,0.9999616141231413,99.38043661137596,0.0001429570381659695,4.4351272246092026e-05,1.5926590565123464,0.9843993220089021,87.50973305315749
Load_3_Case_3_Sine_only,Train,7.625,3,Sine_only,0.0009956643733992974,0.0007480536952916874,0.01697174457409844,0.9999986448327428,99.88358834732666,0.00033408326477054814,0.00018890726235465142,0.34920743405715965,0.9994525737120565,97.66028584723102
Load_3_Case_4_No_current,Train,7.625,4,No_current,0.0007321525333447277,0.000583635139558413,0.012951117521649121,0.9999992789496326,99.9150853139525,0.0001068932773324284,6.582195945903898e-05,285.88734077297016,-2332.174432865757,-4730.295071023243
Load_1_Case_1_DC_plus_sine,Validation,1.906,1,DC_plus_sine,0.0014765841954814255,0.0011958003730997396,0.5359653421042997,0.9997617509259374,98.4564680333863,0.00014115300499947334,0.00011733542552940597,0.15218527245164296,0.9999808743039585,99.56267062296635
Load_1_Case_2_DC_only,Validation,1.906,2,DC_only,0.0003337826687804218,0.00028180884146515486,27.816133176960026,-0.05880360915063099,-2.8981732675511296,0.00014566934215293304,0.00014488533721106797,393.7053593036911,-182.41818588165827,-1254.3196653772661
Load_1_Case_3_Sine_only,Validation,1.906,3,Sine_only,0.0026293856198397855,0.00218212448723864,0.8814567128320411,0.9993550902319508,97.46049275319928,0.00039905365623161735,0.00033604319137871833,0.4214494748373985,0.9998541335524115,98.79224820279507
Load_1_Case_4_No_current,Validation,1.906,4,No_current,0.001164529533023345,0.0010617621212956102,291.08408095816134,-84.22814350891362,-823.1909218869573,8.019332908948981e-05,7.981666378181651e-05,136615.19766965657,-19979478.24690715,-446884.1372027924
Load_2_Case_1_DC_plus_sine,Validation,3.813,1,DC_plus_sine,0.0012742176768122517,0.0011281705779250086,0.505040648211609,0.9997822129076248,98.52423881028186,0.00021344039259933563,0.00016810394551631557,0.16298866647469018,0.999978089985128,99.53191867909771
Load_2_Case_2_DC_only,Validation,3.813,2,DC_only,0.00039116892330673836,0.000281684165616727,5.0149971105474345,0.9753751566318479,84.30769460318434,4.248881411125902e-05,4.134751393587167e-05,32.937230538451686,-0.060497972212242956,-2.980479468714692
Load_2_Case_3_Sine_only,Validation,3.813,3,Sine_only,0.001823934667368001,0.0016449056882690619,1.012734608837279,0.9989949483740789,96.82974503642109,0.00035592758945870653,0.00032441637286801403,0.4246990847368177,0.9998508152433595,98.778587926798
Load_2_Case_4_No_current,Validation,3.813,4,No_current,0.0005905973750546992,0.0005464800905474144,4.101369139013586,0.9843084374238955,87.473403157355,9.982473038751851e-06,7.961238304541721e-06,1567.109256593214,-2296.365868591557,-4693.084874923432
Load_3_Case_1_DC_plus_sine,Validation,7.625,1,DC_plus_sine,0.0028545313222016954,0.002407668173464938,0.6081363282828323,0.99936890834509,97.4878464174329,0.0005625454025602323,0.0004432304586468654,0.2888399055085931,0.9999296134667075,99.1610330871229
Load_3_Case_2_DC_only,Validation,7.625,2,DC_only,0.00030944891842618643,0.0002431550509302705,23.803632862165056,0.22251081821306995,11.824655268752625,2.8921632634815082e-05,2.5588480072404376e-05,262.8162371222433,-94.36569879359976,-876.5536669022796
Load_3_Case_3_Sine_only,Validation,7.625,3,Sine_only,0.0009840271813265264,0.0008450235965550492,1.8851153011969266,0.9956607957581266,93.41273615067854,0.00017809935059426624,0.00015017621475845738,0.47886465183357485,0.9998140577308522,98.63639350708401
Load_3_Case_4_No_current,Validation,7.625,4,No_current,0.0011122142357377649,0.001039877409132635,7.3173619930541,0.9131618458367206,70.53168595021826,9.848076003257686e-05,9.733917680601426e-05,313634.4936727143,-159514685.07130846,-1262891.2685519322
Load_1_Case_1_DC_plus_sine,Test,1.906,1,DC_plus_sine,0.0029115295112355356,0.002555114749095621,1.0383489147311733,0.9990964850427096,96.99414742619697,0.0003381348016209865,0.00026072289514430044,0.3636531273737059,0.9998943425151852,98.97210168209811
Load_1_Case_2_DC_only,Test,1.906,2,DC_only,0.0013978340346063175,0.0013079033156903036,127.06850634342038,-18.142428091513292,-337.5206303465494,0.00018003112989757304,0.00017992190020242734,666.8516413446979,-541.2609604978504,-2228.649895973604
Load_1_Case_3_Sine_only,Test,1.906,3,Sine_only,0.005539848343793912,0.004637254551627518,1.8703064320501643,0.9971953943682295,94.70414694737455,0.000764994124300551,0.0006664014106829025,0.8082261515608392,0.999480308301078,97.72032543946234
Load_1_Case_4_No_current,Test,1.906,4,No_current,0.0031151821034117975,0.0030451809348146356,3114.6652579424353,-23511.35073912432,-15233.737769264073,9.978809015945121e-05,9.972053718622179e-05,817937.7176373672,-1246793015.3014047,-3530895.265846276
Load_2_Case_1_DC_plus_sine,Test,3.813,1,DC_plus_sine,0.0018394394565014892,0.0014944151023356955,0.7393244236377439,0.9995573374063814,97.89604533901618,0.0004452355110749706,0.00035537833289599874,0.3401303360362767,0.9999079272335114,99.04045439873478
Load_2_Case_2_DC_only,Test,3.813,2,DC_only,0.0009869706416161452,0.0008984046993391676,42.91354283950826,-0.5758870337012514,-25.534319825730577,5.005989878309137e-05,5.002653554030692e-05,128.3462440988823,-13.853620695694993,-285.40396337309846
Load_2_Case_3_Sine_only,Test,3.813,3,Sine_only,0.0026148509223700867,0.0022534526097138788,1.5953927623657598,0.9979414496752811,95.462875190603,0.0005691879048564034,0.0005445156726268466,0.6812623761590931,0.999630192061192,98.07696092053314
Load_2_Case_4_No_current,Test,3.813,4,No_current,0.00030329245718295787,0.0002615484665850435,7.053511318726415,0.9570602663847688,79.27809602136473,3.926006062239858e-05,3.807917185762827e-05,20994.34525296087,-369359.29542389634,-60675.020524166895
Load_3_Case_1_DC_plus_sine,Test,7.625,1,DC_plus_sine,0.0034979965900778596,0.0029744961446621265,0.7577818223971061,0.9990942952337474,96.99050704825848,0.0009507955616230664,0.0007801267542458084,0.4881310000466351,0.9998026142924691,98.59505952666566
Load_3_Case_2_DC_only,Test,7.625,2,DC_only,0.0012167180626581856,0.0011747512307105983,528.9749092593396,-344.0467395862285,-1757.5433790595234,8.453733954950998e-05,8.239667816179312e-05,4217.99615074341,-16522.24167973971,-12754.276054917045
Load_3_Case_3_Sine_only,Test,7.625,3,Sine_only,0.0019266540561074413,0.0017532492517052598,4.03065161712804,0.9825485518545634,86.78960703705158,0.0002877624698886761,0.0002289228616643446,0.7735966249483792,0.9995215200246687,97.8125813470582
Load_3_Case_4_No_current,Test,7.625,4,No_current,0.002675103995484157,0.0026228703853669443,78.67199122616171,-7.79255021898671,-196.52235562146737,0.00013603464650601947,0.00013584445099511767,1943372.6448874974,-5345562638.95479,-7311234.915928807
